Opp.,Rslt,Pts,PtsO,Pass Cmp,Pass Att,Pass Cmp%,Pass Yds,Pass Y/A,Pass AY/A,Pass Rate,Rush Att,Rush Yds,Rush Y/A,Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Pnt,Pnt Yds,FL,Int,TO,Margin
Ark.-Pine Bluff,W,67,7,25,32,78.1,314,9.8,13.56,222.4,29,294,10.1,61,608,10,2,2,8,7,0,0,0,0,0,60
Kent State,W,62,14,27,38,71.1,371,9.8,11.87,187.8,42,230,5.5,80,601,7.5,2,2,8,8,2,88,1,0,1,48
Oregon State,W,45,14,27,41,65.9,478,11.7,11.41,186.2,40,121,3,81,599,7.4,1,1,6,6,2,98,0,2,2,31
Utah,W,34,10,25,35,71.4,311,8.9,7.46,153.5,37,173,4.7,72,484,6.7,2,2,4,4,6,248,0,2,2,24
Houston,W,35,11,28,40,70,345,8.6,9.13,150.7,50,207,4.1,90,552,6.1,7,5,2,2,2,86,1,0,1,24
Kansas,W,42,17,14,28,50,133,4.8,3.86,94.5,40,372,9.3,68,505,7.4,2,2,4,4,5,202,0,1,1,25
Arizona State,L,22,26,22,38,57.9,167,4.4,4.26,106.9,27,109,4,65,276,4.2,0,0,2,2,6,272,0,1,1,-4
Oklahoma State,W,42,0,19,29,65.5,282,9.7,11.1,170,40,88,2.2,69,370,5.4,1,0,5,4,3,123,2,0,2,42
Kansas State,W,43,20,21,32,65.6,249,7.8,7.63,145.4,44,187,4.3,76,436,5.7,3,3,5,4,4,143,1,1,2,23
BYU,W,29,7,17,32,53.1,219,6.8,7.47,120.9,43,149,3.5,75,368,4.9,5,5,2,2,5,264,0,0,0,22
UCF,W,48,9,27,36,75,294,8.2,8.72,152.8,35,205,5.9,71,499,7,2,2,6,6,2,81,0,0,0,39
West Virginia,W,49,0,29,40,72.5,384,9.6,10.98,189.4,54,188,3.5,94,572,6.1,0,0,7,7,2,82,1,1,2,49
BYU,W,34,7,20,33,60.6,215,6.5,7.73,135.3,41,159,3.9,74,374,5.1,6,4,2,2,2,80,0,0,0,27
Oregon,L,0,23,18,32,56.3,137,4.3,1.47,79.7,30,78,2.6,62,215,3.5,1,0,0,0,4,178,2,2,4,-23
,12-2,552,165,319,486,65.6,3899,8,8.45,151.3,552,2560,4.6,1038,6459,6.2,34,28,61,58,45,1945,8,10,18,387